gral	Playgrounds	jsbin	http://jsbin.com/	
gral	Playgrounds	liveweave	http://liveweave.com/	
gral	Playgrounds	jsfiddle	http://jsfiddle.net/	
gral	Boilerplate	html5boilerplate	http://html5boilerplate.com/	
gral	Boilerplate	html5reset	http://html5reset.org/	
gral	Boilerplate	responsify.it	http://responsify.it/	
gral	Boilerplate	fluidbaselinegrid	http://fluidbaselinegrid.com/	
gral	Boilerplate	goldilocksapproach	http://goldilocksapproach.com/	
gral	Boilerplate	gridless-boilerplate	http://thatcoolguy.github.io/gridless-boilerplate	
gral	Boilerplate	responsiveboilerplate	http://responsiveboilerplate.com/	
gral	Boilerplate	skeleton	http://www.getskeleton.com/	
gral	Boilerplate	99lime	http://www.99lime.com/	
gral	Boilerplate	goldengridsystem	http://goldengridsystem.com/	
gral	Boilerplate	zurb	http://foundation.zurb.com/	
gral	Boilerplate	320andup	http://stuffandnonsense.co.uk/projects/320andup/	
gral	Boilerplate	320andup	https://github.com/malarkey/320andup	
gral	Templates	typeandgrids	http://www.typeandgrids.com/	
gral	Templates	html5up	http://html5up.net/	
gral	Mockups	placehold.it	http://placehold.it/	Image placeholder service
gral	Validation	html5.validator	http://html5.validator.nu/	
gral	Validation	validator.w3	http://validator.w3.org/	
gral	Validation	css-validator	http://jigsaw.w3.org/css-validator	
gral	Validation	checklink	http://validator.w3.org/checklink	Link checker (enlaces rotos)
gral	Outliner	outliner	http://gsnedders.html5.org/outliner	
gral	Outliner	h5o	https://code.google.com/p/h5o	
gral	Support	wufoo	http://www.wufoo.com/html5	
gral	Support	caniuse	http://caniuse.com/	
gral	Support	html5please	http://html5please.com/	
gral	Support	litmus	http://fmbip.com/litmus	
gral	Snippets	gists	https://gist.github.com/	
gral	Snippets	snipt	https://snipt.net/	
gral	Promotion	yasni	http://yasni.com/	
gral	Promotion	pipl	http://pipl.com/	
gral	Promotion	123people	http://123people.es/	
gral	Style guides (pattern library)	styleguide	https://github.com/EightMedia/styleguide.js	Generate a styleguide from your CSS
gral	Style guides (pattern library)	kaleistyleguide	http://kaleistyleguide.com/	Generates bootstrap-like documentation for your own CSS
gral	Style guides (pattern library)	stylifyme	http://stylifyme.com/	overview of the style guide of a site
gral	Style guides (pattern library)	X-rayHTML	https://github.com/filamentgroup/X-rayHTML	help to build documentation pages
gral	Style guides (pattern library)	Style Tiles	http://styletil.es/	Design deliverable
gral	Photo Editor	http://pixlr.com/editor	http://pixlr.com/editor	
gral	Photo Editor	http://www.photoshop.com/tools	http://www.photoshop.com/tools	
gral	Photo Editor	http://www.picmonkey.com	http://www.picmonkey.com/	
gral	Photo Editor	http://www.sumopaint.com/www	http://www.sumopaint.com/www	
gral	Photo Editor	http://www.psykopaint.com	http://www.psykopaint.com/	
gral	Photo Editor	http://ipiccy.com	http://ipiccy.com/	
gral	Photo Editor	http://pixer.us	http://pixer.us/	
gral	Photo Editor	http://editor.pho.to/es	http://editor.pho.to/es	
gral	Browsers	Chrome	http://www.google.com/chrome	
gral	Browsers	Firefox 3.6+	http://www.firefox.com/	
gral	Browsers	IE 7+	http://windows.microsoft.com/en-US/internet-explorer/downloads/ie	
gral	Browsers	Safari 5+	http://www.apple.com/safari	
gral	Browsers	Opera 11+	http://www.opera.com/	NOTE: Opera Mini is an extremely important browser
gral	Miscellaneous	Ideone	http://ideone.com/	Online compiler/debugger
gral	Miscellaneous	Regexpal	http://regexpal.com/	Test regular expressions
gral	Miscellaneous	Sprymedia	http://www.sprymedia.co.uk/article/Design	Web developer tools (grid, rules, etc)
gral	Miscellaneous	Dragnet	http://www.dragnet.se/webbdesign/websitewireframes.html	Wireframes
gral	Miscellaneous	Draw.io	https://www.draw.io/	Diagrams
html5	Outliner	online outliner	http://gsnedders.html5.org/outliner	
html5	Outliner	h5o	https://code.google.com/p/h5o	
html5	Validation	html5 validator	http://html5.validator.nu	
html5	Validation	w3 html5 validator	http://validator.w3.org	
html5	Validation	w3 link validator	http://validator.w3.org/checklink	
css3	Playgrounds	cssdesk	http://cssdesk.com	
css3	Playgrounds	dabblet	http://dabblet.com	
css3	Playgrounds	css3please	http://css3please.com/	
css3	CSS frameworks	bootstrap	http://getbootstrap.com	
css3	CSS frameworks	blueprint	http://www.blueprintcss.org	
css3	CSS frameworks	zurb	http://foundation.zurb.com/index.html	
css3	CSS frameworks	goldilocks	http://goldilocksapproach.com/	
css3	CSS frameworks	skeleton	http://www.getskeleton.com/	
css3	CSS frameworks	kube	http://imperavi.com/kube/	
css3	CSS frameworks	yaml	http://www.yaml.de/	
css3	CSS frameworks	gumby	http://gumbyframework.com/	
css3	CSS frameworks	susy	http://susy.oddbird.net/	
css3	CSS frameworks	HTML KickStart	http://www.99lime.com/elements/	
css3	CSS grid systems	emerald	http://lmc-eu.github.io/emerald/	Responsive grid system
css3	CSS grid systems	lessframework	http://lessframework.com/	CSS grid system for designing adaptive web­sites. It contains 4 layouts and 3 sets of typography presets, all based on a single grid.
css3	CSS grid systems	tuktuk	http://tuktuk.tapquo.com/	
css3	CSS grid systems	css-smart-grid	http://dryan.github.io/css-smart-grid/	CSS Smart Grid builds on the popular 960 grid concept, mixing in responsive grids that are “mobile first”
css3	CSS grid systems	rwdgrid	http://rwdgrid.com/	Grid system based on popular 960grid , which is responsive and ranges from mobile, tablet, laptops and wide screen displays
css3	CSS grid systems	dead-simple-grid	http://mourner.github.io/dead-simple-grid/	responsive CSS grid micro framework
css3	Resets	normalize.css	http://necolas.github.com/normalize.css	
css3	CSS preprocessors	less	http://lesscss.org	
